,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,11.0,7.0,5.0,11.0,7.0,6.0,11.0,12
1,Digi2,Digi,3.0,1.0,0.0,5.0,1.0,0.0,7.0,12
2,Profit1,Profit,19.0,28.0,37.0,17.0,24.0,33.0,16.0,12
3,Profit2,Profit,16.0,15.0,12.0,15.0,17.0,13.0,13.0,12
4,Profit3,Profit,2.0,1.0,1.0,2.0,1.0,1.0,1.0,12
5,Primus1,Primus,13.0,15.0,17.0,13.0,15.0,17.0,14.0,12
6,Primus2,Primus,3.0,2.0,1.0,4.0,2.0,1.0,4.0,12
7,Primus3,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
8,Best1,Best,9.0,8.0,7.0,10.0,9.0,9.0,13.0,12
9,Best2,Best,14.0,15.0,13.0,12.0,15.0,12.0,10.0,12
10,Best3,Best,3.0,1.0,0.0,4.0,1.0,0.0,4.0,12
11,Mikro1,Mikro,6.0,7.0,8.0,6.0,7.0,7.0,5.0,12
12,Mikro2,Mikro,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12
0,Digi1,Digi,14.0,9.0,7.0,13.0,10.0,8.0,12.0,10
1,Digi2,Digi,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10
2,Profit1,Profit,8.0,7.0,7.0,8.0,9.0,8.0,10.0,10
3,Profit2,Profit,3.0,3.0,2.0,3.0,3.0,2.0,3.0,10
4,Primus1,Primus,34.0,40.0,44.0,33.0,37.0,41.0,32.0,10
5,Primus2,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6,Best1,Best,28.0,28.0,26.0,29.0,29.0,29.0,32.0,10
7,Best2,Best,2.0,2.0,1.0,2.0,2.0,1.0,2.0,10
8,Mikro1,Mikro,10.0,11.0,12.0,9.0,10.0,11.0,8.0,10
0,Digi1,Digi,12.0,5.0,2.0,13.0,7.0,4.0,13.0,11
1,Digi2,Digi,1.0,0.0,0.0,3.0,0.0,0.0,4.0,11
2,Profit1,Profit,30.0,47.0,60.0,26.0,37.0,49.0,22.0,11
3,Profit2,Profit,14.0,14.0,11.0,13.0,14.0,11.0,10.0,11
4,Primus1,Primus,19.0,16.0,14.0,19.0,19.0,18.0,21.0,11
5,Primus2,Primus,1.0,0.0,0.0,1.0,1.0,0.0,2.0,11
6,Primus3,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
7,Best1,Best,12.0,8.0,6.0,13.0,12.0,10.0,18.0,11
8,Best2,Best,4.0,3.0,2.0,4.0,4.0,2.0,4.0,11
9,Best3,Best,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11
10,Mikro1,Mikro,7.0,6.0,5.0,7.0,7.0,6.0,7.0,11
0,Digi1,Digi,5.0,2.0,1.0,7.0,4.0,2.0,10.0,8
1,Profit1,Profit,14.0,15.0,16.0,13.0,15.0,16.0,13.0,8
2,Primus1,Primus,17.0,13.0,10.0,18.0,15.0,13.0,19.0,8
3,Best1,Best,51.0,59.0,62.0,49.0,54.0,58.0,44.0,8
4,Mikro1,Mikro,13.0,11.0,10.0,13.0,12.0,11.0,14.0,8
0,Digi1,Digi,10.0,7.0,6.0,10.0,8.0,6.0,10.0,9
1,Profit1,Profit,20.0,21.0,22.0,19.0,21.0,22.0,19.0,9
2,Primus1,Primus,31.0,34.0,35.0,31.0,32.0,33.0,30.0,9
3,Best1,Best,32.0,31.0,31.0,32.0,33.0,33.0,34.0,9
4,Mikro1,Mikro,7.0,6.0,6.0,7.0,7.0,6.0,7.0,9
