,Company,1,2,3,4,5,6,Period
0,Digi,500.0,700.0,,,,,12
1,Profit,400.0,400.0,400.0,,,,12
2,Primus,400.0,400.0,200.0,,,,12
3,Best,400.0,700.0,700.0,,,,12
4,Mikro,650.0,600.0,,,,,12
0,Digi,400.0,600.0,,,,,10
1,Profit,50.0,500.0,,,,,10
2,Primus,,,,,,,10
3,Best,400.0,600.0,,,,,10
4,Mikro,400.0,,,,,,10
0,Digi,500.0,700.0,,,,,11
1,Profit,600.0,600.0,,,,,11
2,Primus,,,,,,,11
3,Best,200.0,300.0,400.0,,,,11
4,Mikro,500.0,,,,,,11
0,Digi,500.0,,,,,,8
1,Profit,150.0,,,,,,8
2,Primus,,,,,,,8
3,Best,1200.0,,,,,,8
4,Mikro,300.0,,,,,,8
0,Digi,300.0,,,,,,9
1,Profit,400.0,,,,,,9
2,Primus,,,,,,,9
3,Best,1.0,0.0,,,,,9
4,Mikro,300.0,,,,,,9
