Unnamed: 0,Company,1,2,3,4,5,6,Period
0,Digi,68.0,68.0,47.0,0.0,0.0,0.0,14
1,Profit,51.0,61.0,39.0,0.0,0.0,0.0,14
2,Primus,63.0,69.0,46.0,0.0,0.0,0.0,14
3,Best,55.0,64.0,52.0,0.0,0.0,0.0,14
4,Mikro,53.0,68.0,0.0,0.0,0.0,0.0,14
0,Digi,0.0,40.0,69.0,57.0,0.0,0.0,22
1,Profit,0.0,23.0,56.0,65.0,41.0,0.0,22
2,Primus,0.0,61.0,44.0,66.0,43.0,11.0,22
3,Best,0.0,49.0,43.0,55.0,51.0,46.0,22
4,Mikro,9.0,64.0,67.0,0.0,0.0,0.0,22
0,Digi,0.0,68.0,71.0,44.0,0.0,0.0,20
1,Profit,0.0,57.0,55.0,63.0,0.0,0.0,20
2,Primus,0.0,67.0,56.0,67.0,29.0,0.0,20
3,Best,0.0,58.0,60.0,59.0,40.0,22.0,20
4,Mikro,21.0,69.0,67.0,0.0,0.0,0.0,20
0,Digi,0.0,64.0,68.0,0.0,0.0,0.0,17
1,Profit,0.0,64.0,54.0,35.0,0.0,0.0,17
2,Primus,21.0,70.0,53.0,64.0,0.0,0.0,17
3,Best,17.0,65.0,64.0,51.0,10.0,0.0,17
4,Mikro,31.0,62.0,50.0,0.0,0.0,0.0,17
0,Digi,71.0,71.0,0.0,0.0,0.0,0.0,13
1,Profit,55.0,64.0,31.0,0.0,0.0,0.0,13
2,Primus,69.0,56.0,32.0,0.0,0.0,0.0,13
3,Best,66.0,59.0,46.0,0.0,0.0,0.0,13
4,Mikro,53.0,66.0,0.0,0.0,0.0,0.0,13
0,Digi,0.0,40.0,68.0,61.0,0.0,0.0,23
1,Profit,0.0,16.0,48.0,62.0,47.0,0.0,23
2,Primus,0.0,53.0,38.0,60.0,53.0,30.0,23
3,Best,0.0,34.0,33.0,53.0,53.0,54.0,23
4,Mikro,5.0,58.0,69.0,0.0,0.0,0.0,23
0,Digi,63.0,66.0,57.0,0.0,0.0,0.0,15
1,Profit,48.0,67.0,42.0,0.0,0.0,0.0,15
2,Primus,51.0,70.0,51.0,57.0,0.0,0.0,15
3,Best,46.0,64.0,56.0,8.0,0.0,0.0,15
4,Mikro,47.0,68.0,0.0,0.0,0.0,0.0,15
0,Digi,0.0,66.0,67.0,0.0,0.0,0.0,16
1,Profit,30.0,69.0,57.0,0.0,0.0,0.0,16
2,Primus,33.0,69.0,54.0,63.0,0.0,0.0,16
3,Best,28.0,71.0,66.0,25.0,0.0,0.0,16
4,Mikro,40.0,67.0,0.0,0.0,0.0,0.0,16
0,Digi,0.0,67.0,69.0,0.0,0.0,0.0,18
1,Profit,0.0,62.0,55.0,50.0,0.0,0.0,18
2,Primus,0.0,68.0,50.0,66.0,12.0,0.0,18
3,Best,7.0,67.0,68.0,59.0,24.0,0.0,18
4,Mikro,23.0,60.0,62.0,0.0,0.0,0.0,18
0,Digi,0.0,68.0,72.0,25.0,0.0,0.0,19
1,Profit,0.0,60.0,58.0,63.0,0.0,0.0,19
2,Primus,0.0,67.0,60.0,68.0,21.0,0.0,19
3,Best,0.0,63.0,64.0,61.0,29.0,7.0,19
4,Mikro,24.0,70.0,67.0,0.0,0.0,0.0,19
0,Digi,0.0,64.0,68.0,0.0,0.0,0.0,17
1,Profit,0.0,64.0,54.0,35.0,0.0,0.0,17
2,Primus,21.0,70.0,53.0,64.0,0.0,0.0,17
3,Best,17.0,65.0,64.0,51.0,10.0,0.0,17
4,Mikro,31.0,62.0,50.0,0.0,0.0,0.0,17
0,Digi,0.0,52.0,74.0,55.0,0.0,0.0,21
1,Profit,0.0,40.0,55.0,67.0,24.0,0.0,21
2,Primus,0.0,63.0,52.0,65.0,37.0,0.0,21
3,Best,0.0,58.0,56.0,55.0,47.0,35.0,21
4,Mikro,11.0,70.0,71.0,0.0,0.0,0.0,21
